publisher,books_count
Atria Books,3294.0
Ronin Publishing (CA),19.0
Bloomsbury UK,855.0
Beliver Books,1.0
"McSweeney's, Believer Books",6.0
Riverhead Books,1247.0
Phoenix,9159.0
Arcadia,31138.0
Distribooks,1159.0
American University in Cairo Press,1807.0
Speak,1192.0
Chaosium,322.0
HarperCollins Publishers Ltd,4265.0
Alison Green Books,65.0
Penguin Books (NY),0.0
Perennial Classics,65.0
PerfectBound (HarperCollins),0.0
Trafford Publishing,11815.0
Atlantic,14424.0
Atlantic Books,4397.0
Geddes & Grosset,622.0
Metropolitan Books,448.0
Picador  Macmillan Publishers Ltd,0.0
Edebé,2502.0
Aha! Process,91.0
Rayo,712.0
Manning Publications,1245.0
Cold Spring Harbor Laboratory Press,645.0
Rivages,2108.0
Kiepenheuer & Witsch,3802.0
Algonquin Books of Chapel Hill,1300.0
Vintage Classics,232.0
"Pineapple Press, Inc.",252.0
Transworld Publishers Limited,3923.0
Ballantine,17425.0
University of South Carolina Press,2845.0
Borealis Books,77.0
The Audio Partners,432.0
Warner,15867.0
Tougher Disguises Pr,5.0
HarperCollins UK,1805.0
Pelican Publishing Company,1286.0
Douglas & McIntyre,2482.0
Running Press,6526.0
Time-Life Books,3977.0
Del Rey Books,438.0
Children's Press (CT),3214.0
"Collection of Historical Scientific Instruments, Harvard University",2.0
Harper Perennial (NYC),0.0
Silhouette Desire,311.0
Johnson Publishing Company (IL),1.0
Viking Children's Books,696.0
Microsoft Press,3403.0
Galahad,880.0
Vermilion,1190.0
Harvard Business School Press,997.0
Green Integer,339.0
Hovel Audio,179.0
Barnes & Noble,18282.0
Ten Speed Press,2050.0
Philomel Books,1204.0
Child's Play (International) Ltd.,16.0
McSweeney's,583.0
Paulist Press,5700.0
Dial Press,4086.0
Chelsea House Publications,3514.0
Dial Press Trade Paperbacks,29.0
Chalice Press,770.0
Belknap Press,2321.0
Wizards of the Coast,2217.0
MacMillan General Books,18.0
Random House Trade,2313.0
Grupo Editorial Norma,2474.0
Macmillan Audio Books,267.0
Anchor Canada,492.0
Heinemann Library,7660.0
Barron's,8833.0
HarperPerennial / Perennial Classics,0.0
Park Street Press,186.0
Dalkey Archive Press,1357.0
I.R. Dee,198.0
Delta Publishing,194.0
Berkley,18496.0
Washington Square,2240.0
Plume (Penguin Books Ltd),0.0
Cartwheel,1328.0
Plume Books,105.0
De Boekerij,453.0
Regan Books,261.0
Multnomah,2777.0
Gemstone Publishing,240.0
Gemstone Pub.,44.0
Moody,7359.0
Golden Books,8974.0
Prestwick House Literary Touchstone Press,2.0
Courage Books/Running Press,6.0
Island,19227.0
Delta Trade Paperbacks,198.0
Pearson Education Ltd.,235.0
Bantam Dell,472.0
"Scholastic, Inc.",2427.0
Puffin Books,6086.0
Time Warner Paperbacks,1008.0
Firelight Press,8.0
Baen Books,1386.0
"Lothrop, Lee & Shepard Books",3100.0
Meridian,2654.0
Bastei Lübbe,781.0
Hodder & Stoughton Ltd,85386.0
Delacorte Books for Young Readers,774.0
1st World Library,2416.0
Penguin Press HC  The,0.0
University of Georgia Press,4478.0
Rodale Books,1324.0
"Pearson Education, Limited",58146.0
W.W. Norton & Company,2777.0
French & European Publications,21063.0
Warner Vision Books,94.0
"Published for the Institute of Early American History and Culture at Williamsburg, Va., by the University of North Carolina Press",53.0
W.W.Norton & Co.,30.0
Hermagoras Press,35.0
"Norton & Company, Incorporated, W. W.",21054.0
Jane Nissen Books,50.0
A.A. Knopf,3117.0
Everyman Paperback Classics,137.0
Orbis Books,2669.0
Flamingo,2496.0
University of Washington Press,5694.0
HarperPaperbacks,753.0
St. Martin's Minotaur,1449.0
Emece Editores,1082.0
DC Comics,6037.0
Contemporary French Fiction,993.0
Pocket Star,1394.0
Penguin Books  Limited (UK),0.0
Titan Books,4788.0
Abraham Guillen Press/Arm the Spirit,15.0
Apress,6091.0
Palgrave Macmillan,86333.0
DAW Hardcover,74.0
Black Swan,1096.0
Disney Press,3584.0
Broadview Press,1447.0
Not Avail,17967.0
Hougton Mifflin,53.0
City Lights Books,844.0
Miramax Books,229.0
Vintage Intenational,1.0
Peter Owen Ltd,176.0
MAXIMA New Media,3.0
St. Martin's Paperbacks,3278.0
Little  Brown Books for Young Readers,0.0
Margaret K. McElderry Books,766.0
Huang guan wen hua chu ban you xian gong si,485.0
皇冠文化出版有限公司,4.0
Oberlin College Press,82.0
North Star Publications (MA),12.0
Simon Publications,212.0
Piatkus Books,2306.0
Penguin Global,606.0
Le Livre de Poche,2646.0
Crossroad General Interest,92.0
Barbour Books,536.0
Harvest House Publishers,4612.0
Vision Forum,212.0
J.P. Tarcher/Putnam,68.0
Penguin Group(CA),17.0
Abacus,2200.0
Steerforth,721.0
Steerforth Press,615.0
Fawcett Books,553.0
Avalon Travel Publishing,1151.0
Harper Trophy,184.0
City Lights,1028.0
America's Test Kitchen,233.0
Viking Juvenile,1228.0
Vintage Canada,938.0
Books on Tape,7370.0
Paul Dry Books,125.0
Avon Trade,69.0
Doubleday Publishing (NY),0.0
Hay House,5032.0
Chronicle Books,13980.0
"Regnery Publishing, Inc.",200.0
Applewood Books,7880.0
Providence Forum Press,2.0
Faber & Faber,27640.0
G. P. Putnam's Sons,5613.0
Putman Publishing Froup,1.0
Smithmark,3658.0
MTV,285.0
Steidl,2440.0
Fawcett Crest,1278.0
Dell Pub. Co.,1580.0
Hachette Books,3894.0
Gibbs Smith,3339.0
Fount,504.0
Whitaker House,2296.0
Pelican Pub. Co.,927.0
Penguin (Non-Classics),5436.0
New World Library,1329.0
Cemetery Dance Pubns,124.0
Little  Brown and Company,0.0
American Diabetes Association,621.0
Sceptre,1476.0
Nelson Thornes Ltd,5941.0
Fodor's,6002.0
Harlequin Anthologies,3.0
DEBOLSILLO,8079.0
Limitless Corporation,29.0
Poisoned Pen Press,1739.0
University of Michigan Press,8617.0
Roaring Brook Press,1762.0
Ten Speed,2969.0
Rebound by Sagebrush,3672.0
Berkley Sensation,591.0
Schocken,3688.0
Ave Maria Press,1543.0
Corgi Adult,314.0
Fourth Estate,1861.0
SparkNotes,406.0
Recorded Books  Inc.,0.0
Kodansha International,1950.0
Nymphenburger,1163.0
Paul S. Eriksson,58.0
Phoenix Press,1928.0
H. Holt,7644.0
Norton and Co.,63.0
Sage Publications  Inc,0.0
T. Nelson,6578.0
Darton  Longman & Todd,0.0
Multnomah Fiction,55.0
Sleeping Bear Press,1194.0
Sinauer Associates,541.0
Island Press,16777.0
Wiley-Blackwell,6529.0
Rufus Publications,4.0
Harper San Francisco,319.0
Booksales,104.0
Mythopoeic Press,21.0
HiddenSpring,58.0
Del Rey/Ballantine Books,227.0
Recorded Books Unabridged,25.0
Lantern Books,418.0
Wiley (TP),0.0
Marvel,11326.0
Silhouette,17288.0
Mills & Boon,63145.0
Prometheus,5233.0
Quality Paperback Book Club,327.0
Simon Spotlight Entertainment,577.0
Melcher Media,96.0
"Wilhelm Goldmann Verlag, GmbH",9.0
Lucent Books,2651.0
Lübbe,4364.0
Public Square Books,384.0
ACME Novelty Library,2.0
Drawn and Quarterly,270.0
Jonathan Cape,4637.0
"Oldcastle Books, Limited",808.0
Conari Press,556.0
Warner Adult,67.0
Everyman,2761.0
Scholastic Press,1775.0
Penguin Classic,2276.0
Wings,3757.0
Harpperen,9.0
Debolsillo,8079.0
Perennial Library,843.0
Modern Library/Random House (NY),0.0
Crown,16750.0
Barnes  Noble Classics,0.0
Columbia University Press,21547.0
Usborne Books,2328.0
Hodder Audio,21.0
New York: Random House,29.0
London : Collins  2004.,0.0
HarperCollinsChildren’sBooks,132.0
Lectorum Publications,1304.0
Bloomsbury Paperbacks,95.0
New York Review of Books,791.0
Nova Fronteira,1233.0
Andrews McMeel Publishing,10620.0
Penguin Books/Penguin Popular Classics,0.0
Northwestern University Press,3239.0
Verso,4104.0
Haymarket Books,1353.0
Orion,47262.0
Minnesota Heritage Publishing,15.0
Minnesota Historical Society Press,718.0
T. Y. Crowell,1102.0
Taylor Productions Ltd,7.0
Orb,580.0
Forge,4679.0
Forge Books,1430.0
F & W Publications Inc.,6711.0
Audio Renaissance,656.0
Price Stern Sloan,4043.0
Hachette,55293.0
Doubleday & Co.,11741.0
Scholastic Book Services,2533.0
Live Oak Media,970.0
Laurel-Leaf Books,110.0
"Bruce & Bruce, Inc.",3589.0
Tommy Nelson,575.0
HarperCollins Children's Books,1088.0
Harmony,3491.0
HarperFestival,1524.0
Winter on the Farm (My First Little House),0.0
Bantam Doubleday Dell Pub. Group,20.0
University of Massachusetts Press,2382.0
Dorling Kindersley Children,23.0
DK ADULT,1367.0
DK CHILDREN,3427.0
Atlas Books/HarperCollins,11.0
Crossway Books,1665.0
Doubleday Books for Young Readers,361.0
Michael Joseph Ltd,667.0
Putnam Adult,924.0
Profile Books,2760.0
Robert Rose,298.0
Carroll & Graf,3791.0
Edimat Libros,1438.0
Elsevier Saunders,395.0
No Exit Press,217.0
Random House Audio Publishing Group,182.0
J'ai Lu,8617.0
Klincksieck,3741.0
Rodale Press,1979.0
Random house,125453.0
Harlequin Temptation,2.0
Faber,36120.0
"Virago Press, Limited",113.0
Virago UK,16.0
Albin Michel,9167.0
Ebury,16697.0
DK Preschool,615.0
DK Children,3427.0
Albert Whitman & Company,1149.0
Hyperion Books for Children,1525.0
Arthur A. Levine Books,333.0
Grijalbo Mondadori Sa,912.0
W.W. Norton  Company,0.0
Corgi Books Limited,68.0
HarperEntertainment,1012.0
Titan Books Ltd,1026.0
Avenel Books,417.0
Abdo Publishing Company,24067.0
"Little, Brown Young Readers",775.0
Albury Pub.,68.0
Thunder's Mouth Press,883.0
Watson-Guptill,3778.0
Eraserhead Press,226.0
Dr. Master Productions Inc.,125.0
Seven Stories Press,1137.0
The Lyons Press,1520.0
Hachette Audio,1260.0
Roberts Rinehart Publishers,367.0
Lawbook Exchange,1435.0
East Bay Municipal Utility District,10.0
Amherst Media,919.0
Express Publishing,474.0
Quill/William Morrow,25.0
Dorling Kindersley Pub.,298.0
Barefoot Books,2134.0
Dial Books for Young Readers,1495.0
University Press of Florida,3377.0
Starcatcher Press,8.0
Sudamericana,5197.0
New Island Books,425.0
Trans-World,25.0
Regnery,4553.0
Ballantine Pub. Group,196.0
Times Books,2308.0
Dutton Adult,1668.0
Jeremy P. Tarcher/Putnam,119.0
Dell Publishing Company,1288.0
Delta Pub.,49.0
Dell Book,801.0
Indiana University Press,10125.0
Mayfield Pub. Co.,477.0
Orchard Books,4150.0
Abingdon Press,10837.0
Destiny Image,4031.0
Wm. B. Eerdmans Publishing Company,1648.0
Disney Editions/Hyperion Books for Children,6.0
Starscape,195.0
Nelson Current,45.0
Luna,1270.0
Rowohlt Verlag,946.0
Spectra/Bantam Books,13.0
Collins Design,455.0
Joshua Odell Editions,10.0
Dragonfly Books,359.0
iBooks,1013.0
Everyman's Library Classics,0.0
Tarcher,1863.0
Theatre Communications Group,1072.0
Continuum International Publishing Group,3606.0
El Paso Norte Press,49.0
Aspect/Warner Books,20.0
Golden/Disney,331.0
Nostalgia Ventures,62.0
Pan Macmillan,13150.0
McClelland and Stewart,3254.0
Dutton Childrens Books,183.0
Dell Pub.,2764.0
The University of North Carolina Press,2961.0
Lumen,4102.0
BFI Pub.,168.0
Picador USA/Henry Holt and Co.,2.0
Methuen Publishing,1791.0
Vintage Contemporaries,157.0
Knopf Books for Young Readers,1571.0
Cumberland House,807.0
Windsor's Golden Series Publications,1.0
"Penguin Press HC, The",146.0
Cistercian Publications,707.0
btb,1713.0
Bloomsbury USA,1569.0
C. Bange,172.0
Insel,7536.0
Piper,8268.0
Dell Laurel-Leaf,68.0
Pimlico,846.0
Luath Press,1158.0
DAW Books,1223.0
DAW,3374.0
Tauris Parke Paperbacks,144.0
Rowohlt Tb,2435.0
Napoleon Publishing,130.0
Harcourt Brace and Co.,41.0
Faber  Faber,0.0
"Harcourt, Inc.",284.0
Random House Value Publishing,15970.0
Trine Day,249.0
GB Science Publishers SA,1.0
Eerdmans,12126.0
Augsburg Fortress Publishers,1563.0
"Stewart, Tabori & Chang",1422.0
Sylvan Dell Publishing,83.0
Holt McDougal,2712.0
Virgin Publishing,413.0
Free Spirit Publishing,1047.0
Taunton Press,1293.0
Penguin/Arkana,17.0
Houghton Mifflin Harcourt P,38.0
DeBolsillo,8079.0
Rizzoli,17890.0
Phoenix (an Imprint of The Orion Publishing Group Ltd ),518.0
Adams Media Corp.,294.0
Michael O'Mara,1308.0
Brilliance Audio on CD Unabridged,1217.0
Abdo Pub.,2712.0
Wordsworth Editions,1100.0
Countryman Press,881.0
Hard Crime Case,28.0
Andrews McMeel Pub.,962.0
Cemetery Dance Publications,206.0
Bantam Doubleday Dell Publishing Group,449.0
Renaissance Books,204.0
New English Library,4020.0
Simon & Schuster Libros en Español,78117.0
LGF,3099.0
Inter Varsity Pr,11.0
Suma de Letras Brasileiras,0.0
Secker & Warburg,5110.0
Archie Comics,147.0
Orion mass market paperback,558.0
Fireside,2520.0
Canongate U.S.,112.0
Simon Schuster Trade,193.0
Harper Collins,4285.0
Little Bookroom,142.0
TarcherPerigee,344.0
Villard/Strivers Row,7.0
Fulcrum Pub.,406.0
Downtown Press,197.0
Allen & Ulwin,29073.0
Grove Press : distributed by Random House,147.0
Copper Canyon Press,710.0
Arrow Books,3483.0
Gold Eagle,1219.0
Games Workshop,1582.0
Worldwide,10252.0
